target,targets_category,correct,color,prime
Дом,ИС,-1,-1,
Лис,ЕС,-1,-1,
Мяч,ИС,-1,-1,
Рот,ЕС,-1,-1,
Нож,ИС,-1,-1,
Газ,ЕС,-1,-1,
Вагон,ИС,1,1,Рамка
Карта,ИС,1,1,Стена
Волна,ЕС,2,2,Рамка
Земля,ЕС,1,1,Спина
Налог,ИС,2,2,Запах
Сапог,ИС,2,2,Ветер
Слеза,ЕС,2,2,Карта
Рамка,ИС,1,1,Налог
Ветер,ЕС,1,1,Слеза
Палец,ЕС,2,2,Стена
Глаза,ЕС,3,3,ЖЖЖЖ
Карта,ИС,2,2,Спина
Волос,ЕС,1,1,Песок
Завод,ИС,3,3,ЖЖЖЖ
Стена,ИС,1,1,Номер
Земля,ЕС,3,3,ЖЖЖЖ
Глаза,ЕС,2,2,Вагон
Налог,ИС,1,1,Диван
Завод,ИС,1,1,Сцена
Рамка,ИС,3,3,ЖЖЖЖ
Спина,ЕС,2,2,Сапог
Глаза,ЕС,1,1,Волна
Вагон,ИС,2,2,Земля
Запах,ЕС,3,3,ЖЖЖЖ
Слеза,ЕС,3,3,ЖЖЖЖ
Сцена,ИС,1,1,Завод
Вагон,ИС,3,3,ЖЖЖЖ
Палец,ЕС,1,1,Ветер
Рамка,ИС,2,2,Волос
Диван,ИС,3,3,ЖЖЖЖ
Запах,ЕС,1,1,Глаза
Слеза,ЕС,1,1,Земля
Ветер,ЕС,3,3,ЖЖЖЖ
Волна,ЕС,1,1,Палец
Стена,ИС,2,2,Песок
Диван,ИС,2,2,Волна
Волна,ЕС,3,3,ЖЖЖЖ
Запах,ЕС,2,2,Номер
Карта,ИС,3,3,ЖЖЖЖ
Спина,ЕС,3,3,ЖЖЖЖ
Номер,ИС,2,2,Слеза
Спина,ЕС,1,1,Волос
Песок,ЕС,2,2,Сцена
Сапог,ИС,1,1,Вагон
Стена,ИС,3,3,ЖЖЖЖ
Диван,ИС,1,1,Карта
Налог,ИС,3,3,ЖЖЖЖ
Сцена,ИС,2,2,Палец
Волос,ЕС,3,3,ЖЖЖЖ
Песок,ЕС,3,3,ЖЖЖЖ
Номер,ИС,1,1,Сапог
Ветер,ЕС,2,2,Завод
Земля,ЕС,2,2,Диван
Палец,ЕС,3,3,ЖЖЖЖ
Сцена,ИС,3,3,ЖЖЖЖ
Завод,ИС,2,2,Глаза
Песок,ЕС,1,1,Запах
Номер,ИС,3,3,ЖЖЖЖ
Волос,ЕС,2,2,Налог
Сапог,ИС,3,3,ЖЖЖЖ
